P(a | i.) 0.04067660088602497
P(let | ‘eg.’) 0.042383550146873686
P(us | let) 0.03910181958962446
P(at | glance) 0.042383550146873686
P(our | at) 0.013867911574900454
P(continental | our) 0.0317310713163682
P(gazetteer.” | continental) 0.042383550146873686
P(he | gazetteer.”) 0.042383550146873686
P(took | he) 0.009918491603653148
P(down | took) 0.03503295178633368
P(a | down) 0.02473671320107764
P(heavy | a) 0.009579183148262877
P(brown | heavy) 0.037644427879239654
P(volume | brown) 0.04067660088602497
P(his | from) 0.10215876253612102
P(shelves. | his) 0.008499537153917361
P(“eglow, | shelves.) 0.042383550146873686
P(eglonitz—here | “eglow,) 0.042383550146873686
P(we | eglonitz—here) 0.042383550146873686
P(are, | we) 0.02414535022710973
P(egria. | are,) 0.042383550146873686
P(it | egria.) 0.042383550146873686
P(in | is) 0.023148681331337094
P(country—in | german-speaking) 0.042383550146873686
P(bohemia, | country—in) 0.042383550146873686
P(not | bohemia,) 0.042383550146873686
P(far | not) 0.015823280589064705
P(from | far) 0.042383550146873686
P(carlsbad. | from) 0.01716811150773415
P(‘remarkable | carlsbad.) 0.042383550146873686
P(being | as) 0.013867911574900454
P(the | being) 0.037644427879239654
P(scene | the) 0.007903789092245884
P(of | scene) 0.07781649245063878
P(death | the) 0.0026521019877635693
P(of | death) 0.042383550146873686
P(wallenstein, | of) 0.004375514447862063
P(and | wallenstein,) 0.042383550146873686
P(for | and) 0.004636643253913602
P(its | for) 0.018090632276553824
P(numerous | its) 0.03629177146963708
P(and | glass-factories) 0.042383550146873686
P(paper-mills.’ | and) 0.004636643253913602
P(ha, | paper-mills.’) 0.042383550146873686
P(ha, | ha,) 0.04067660088602497
P(my | ha,) 0.04067660088602497
P(boy, | my) 0.01265188525616936
P(what | boy,) 0.042383550146873686
P(his | that?”) 0.04067660088602497
P(sparkled, | eyes) 0.033858531679517266
P(and | sparkled,) 0.042383550146873686
P(he | and) 0.004636643253913602
P(sent | he) 0.009918491603653148
P(up | sent) 0.04067660088602497
P(a | up) 0.02026891430864941
P(great | a) 0.009579183148262877
P(blue | great) 0.037644427879239654
P(triumphant | blue) 0.04067660088602497
P(cloud | triumphant) 0.042383550146873686
P(cigarette. | his) 0.008499537153917361
P(paper | “the) 0.03276029841063899
P(was | paper) 0.03629177146963708
P(made | was) 0.00842860719352416
P(in | made) 0.03629177146963708
P(bohemia,” | in) 0.006786266209769535
P(i | bohemia,”) 0.042383550146873686
P(said. | i) 0.005292668867578473
P(and | “precisely.) 0.042383550146873686
P(the | wrote) 0.03910181958962446
P(is | note) 0.03629177146963708
P(german. | a) 0.004813420387933088
P(do | german.) 0.042383550146873686
P(note | you) 0.01088010341484434
P(the | note) 0.03629177146963708
P(construction | peculiar) 0.042383550146873686
P(of | construction) 0.042383550146873686
P(sentence—‘this | the) 0.0026521019877635693
P(account | sentence—‘this) 0.042383550146873686
P(received.’ | quarters) 0.04067660088602497
P(a | received.’) 0.042383550146873686
P(frenchman | a) 0.004813420387933088
P(or | frenchman) 0.042383550146873686
P(russian | or) 0.023581601681064674
P(could | russian) 0.042383550146873686
P(have | not) 0.015823280589064705
P(written | have) 0.014890166592952971
P(it | that.) 0.04067660088602497
P(who | german) 0.07491613865076406
P(is | who) 0.0395435766279756
P(so | is) 0.01163192445007486
P(uncourteous | so) 0.030764544623819678
P(to | uncourteous) 0.042383550146873686
P(verbs. | his) 0.008499537153917361
P(it | verbs.) 0.042383550146873686
P(only | it) 0.009113056031760354
P(therefore, | remains,) 0.042383550146873686
P(to | therefore,) 0.042383550146873686
P(discover | to) 0.004790589574538728
P(what | discover) 0.042383550146873686
P(is | what) 0.07557117750439367
P(wanted | is) 0.01163192445007486
P(by | wanted) 0.04067660088602497
P(this | by) 0.02203796639755619
P(german | this) 0.02473671320107764
P(upon | writes) 0.042383550146873686
P(bohemian | upon) 0.02252955610082534
P(paper | bohemian) 0.03910181958962446
P(and | paper) 0.03629177146963708
P(prefers | and) 0.004636643253913602
P(wearing | prefers) 0.042383550146873686
P(a | wearing) 0.042383550146873686
P(mask | a) 0.004813420387933088
P(to | mask) 0.04067660088602497
P(showing | to) 0.004790589574538728
P(his | showing) 0.042383550146873686
P(and | face.) 0.04067660088602497
P(here | and) 0.004636643253913602
P(he | here) 0.08095046314941601
P(comes, | he) 0.009918491603653148
P(if | comes,) 0.042383550146873686
P(not | am) 0.05176409992274015
P(mistaken, | not) 0.015823280589064705
P(to | mistaken,) 0.042383550146873686
P(resolve | to) 0.004790589574538728
P(all | resolve) 0.042383550146873686
P(our | all) 0.02473671320107764
P(he | as) 0.10998215021282438
P(spoke | he) 0.01973878032014141
P(there | spoke) 0.03910181958962446
P(sharp | the) 0.0026521019877635693
P(sound | sharp) 0.03910181958962446
P(of | sound) 0.042383550146873686
P(horses’ | of) 0.004375514447862063
P(hoofs | horses’) 0.042383550146873686
P(and | hoofs) 0.042383550146873686
P(grating | and) 0.004636643253913602
P(against | wheels) 0.04067660088602497
P(curb, | the) 0.0026521019877635693
P(followed | curb,) 0.042383550146873686
P(by | followed) 0.04067660088602497
P(a | by) 0.02203796639755619
P(sharp | a) 0.004813420387933088
P(pull | sharp) 0.03910181958962446
P(at | pull) 0.042383550146873686
P(bell. | the) 0.005277945540004726
P(holmes | bell.) 0.04067660088602497
P(pair, | “a) 0.03910181958962446
P(by | pair,) 0.042383550146873686
P(sound,” | the) 0.0026521019877635693
P(said | sound,”) 0.042383550146873686
P(“yes,” | he.) 0.033858531679517266
P(he | “yes,”) 0.042383550146873686
P(continued, | he) 0.009918491603653148
P(glancing | continued,) 0.042383550146873686
P(out | glancing) 0.042383550146873686
P(window. | the) 0.007903789092245884
P(“a | window.) 0.037644427879239654
P(nice | “a) 0.03910181958962446
P(little | nice) 0.042383550146873686
P(brougham | little) 0.028188668713368687
P(and | brougham) 0.04067660088602497
P(pair | a) 0.004813420387933088
P(of | pair) 0.04067660088602497
P(beauties. | of) 0.004375514447862063
P(a | beauties.) 0.042383550146873686
P(hundred | a) 0.004813420387933088
P(fifty | and) 0.004636643253913602
P(guineas | fifty) 0.042383550146873686
P(apiece. | guineas) 0.042383550146873686
P(there’s | apiece.) 0.042383550146873686
P(money | there’s) 0.04067660088602497
P(in | money) 0.042383550146873686
P(this | in) 0.020224417120204258
P(case, | this) 0.02473671320107764
P(watson, | case,) 0.042383550146873686
P(if | watson,) 0.03910181958962446
P(there | if) 0.026010816379088336
P(nothing | is) 0.023148681331337094
P(else.” | nothing) 0.03629177146963708
P(think | “i) 0.018420572679190225
P(that | think) 0.03629177146963708
P(better | had) 0.014673834083975011
P(go, | better) 0.03910181958962446
P(holmes.” | go,) 0.04067660088602497
P(a | “not) 0.037644427879239654
P(bit, | a) 0.004813420387933088
P(doctor. | bit,) 0.042383550146873686
P(stay | doctor.) 0.042383550146873686
P(where | stay) 0.04067660088602497
P(you | where) 0.033858531679517266
P(are. | you) 0.01088010341484434
P(i | are.) 0.042383550146873686
P(lost | am) 0.026010816379088336
P(without | lost) 0.03910181958962446
P(my | without) 0.033858531679517266
P(boswell. | my) 0.01265188525616936
P(this | and) 0.004636643253913602
P(promises | this) 0.02473671320107764
P(to | promises) 0.042383550146873686
P(interesting. | be) 0.014673834083975011
P(it | interesting.) 0.042383550146873686
P(would | it) 0.018135883785978524
P(be | would) 0.08400781468043539
P(a | be) 0.02920238268197007
P(pity | a) 0.004813420387933088
P(to | pity) 0.042383550146873686
P(miss | to) 0.004790589574538728
P(it.” | miss) 0.037644427879239654
P(your | “but) 0.0317310713163682
P(client—” | your) 0.02203796639755619
P(mind | “never) 0.042383550146873686
P(him. | mind) 0.03629177146963708
P(i | him.) 0.0673818303721086
P(may | i) 0.015773201278624954
P(want | may) 0.026698387523129793
P(your | want) 0.08095046314941601
P(help, | your) 0.02203796639755619
P(and | help,) 0.042383550146873686
P(so | and) 0.009227379148877564
P(may | so) 0.030764544623819678
P(he. | may) 0.026698387523129793
P(here | he.) 0.033858531679517266
P(comes. | he) 0.009918491603653148
P(down | sit) 0.042383550146873686
P(in | down) 0.0982120989468528
P(that | in) 0.013505341664986896
P(armchair, | that) 0.010324031483185118
P(doctor, | armchair,) 0.04067660088602497
P(and | doctor,) 0.04067660088602497
P(give | and) 0.004636643253913602
P(us | give) 0.037644427879239654
P(your | us) 0.03910181958962446
P(best | your) 0.02203796639755619
P(attention.” | best) 0.04067660088602497
P(slow | a) 0.004813420387933088
P(and | slow) 0.042383550146873686
P(heavy | and) 0.004636643253913602
P(step, | heavy) 0.037644427879239654
P(which | step,) 0.042383550146873686
P(heard | been) 0.02252955610082534
P(upon | heard) 0.037644427879239654
P(stairs | the) 0.0026521019877635693
P(and | stairs) 0.042383550146873686
P(paused | passage,) 0.042383550146873686
P(immediately | paused) 0.042383550146873686
P(outside | immediately) 0.042383550146873686
P(the | outside) 0.042383550146873686
P(door. | the) 0.005277945540004726
P(then | door.) 0.04067660088602497
P(there | then) 0.0317310713163682
P(a | was) 0.08353500792789785
P(loud | a) 0.004813420387933088
P(and | loud) 0.042383550146873686
P(tap. | authoritative) 0.042383550146873686
P(in!” | “come) 0.042383550146873686
P(said | in!”) 0.042383550146873686
P(man | a) 0.02864223418958204
P(entered | man) 0.028188668713368687
P(who | entered) 0.042383550146873686
P(could | who) 0.019870155420027544
P(hardly | could) 0.023581601681064674
P(have | hardly) 0.03910181958962446
P(less | been) 0.02252955610082534
P(than | less) 0.07491613865076406
P(six | than) 0.03276029841063899
P(feet | six) 0.037644427879239654
P(six | feet) 0.042383550146873686
P(inches | six) 0.037644427879239654
P(height, | in) 0.006786266209769535
P(with | height,) 0.042383550146873686
P(chest | the) 0.0026521019877635693
P(limbs | and) 0.004636643253913602
P(of | limbs) 0.042383550146873686
P(a | of) 0.04769743967421912
P(hercules. | a) 0.004813420387933088
P(his | hercules.) 0.042383550146873686
P(dress | his) 0.008499537153917361
P(was | dress) 0.042383550146873686
P(rich | was) 0.00842860719352416
P(richness | a) 0.004813420387933088
P(which | richness) 0.042383550146873686
P(would, | which) 0.01534254898982227
P(in | would,) 0.042383550146873686
P(england, | in) 0.006786266209769535
P(be | england,) 0.042383550146873686
P(looked | be) 0.014673834083975011
P(upon | looked) 0.03276029841063899
P(as | upon) 0.02252955610082534
P(akin | as) 0.013867911574900454
P(bad | to) 0.004790589574538728
P(heavy | taste.) 0.042383550146873686
P(bands | heavy) 0.037644427879239654
P(of | bands) 0.042383550146873686
P(astrakhan | of) 0.004375514447862063
P(were | astrakhan) 0.042383550146873686
P(slashed | were) 0.02414535022710973
P(across | slashed) 0.042383550146873686
P(the | across) 0.07491613865076406
P(sleeves | the) 0.0026521019877635693
P(and | sleeves) 0.042383550146873686
P(of | fronts) 0.042383550146873686
P(double-breasted | his) 0.008499537153917361
P(coat, | double-breasted) 0.042383550146873686
P(while | coat,) 0.042383550146873686
P(the | while) 0.06519623743107363
P(deep | the) 0.0026521019877635693
P(blue | deep) 0.04067660088602497
P(cloak | blue) 0.04067660088602497
P(which | cloak) 0.04067660088602497
P(was | which) 0.0457238341181832
P(over | thrown) 0.042383550146873686
P(his | over) 0.0673818303721086
P(shoulders | his) 0.008499537153917361
P(was | shoulders) 0.042383550146873686
P(lined | was) 0.00842860719352416
P(with | lined) 0.042383550146873686
P(flame-coloured | with) 0.01265188525616936
P(silk | flame-coloured) 0.042383550146873686
P(and | silk) 0.042383550146873686
P(at | secured) 0.042383550146873686
P(neck | the) 0.0026521019877635693
P(with | neck) 0.042383550146873686
P(brooch | a) 0.004813420387933088
P(which | brooch) 0.042383550146873686
P(consisted | which) 0.01534254898982227
P(of | consisted) 0.042383550146873686
P(single | a) 0.004813420387933088
P(flaming | single) 0.042383550146873686
P(boots | beryl.) 0.042383550146873686
P(which | boots) 0.042383550146873686
P(extended | which) 0.01534254898982227
P(halfway | extended) 0.042383550146873686
P(up | halfway) 0.042383550146873686
P(his | up) 0.02026891430864941
P(calves, | his) 0.008499537153917361
P(and | calves,) 0.042383550146873686
P(which | and) 0.004636643253913602
P(were | which) 0.0457238341181832
P(at | trimmed) 0.042383550146873686
P(tops | the) 0.0026521019877635693
P(with | tops) 0.042383550146873686
P(rich | with) 0.01265188525616936
P(brown | rich) 0.04067660088602497
P(fur, | brown) 0.04067660088602497
P(completed | fur,) 0.042383550146873686
P(the | completed) 0.042383550146873686
P(impression | the) 0.0026521019877635693
P(of | impression) 0.042383550146873686
P(opulence | barbaric) 0.042383550146873686
P(which | opulence) 0.042383550146873686
P(suggested | was) 0.00842860719352416
P(by | suggested) 0.042383550146873686
P(his | by) 0.02203796639755619
P(appearance. | whole) 0.037644427879239654
P(he | appearance.) 0.042383550146873686
P(a | carried) 0.042383550146873686
P(broad-brimmed | a) 0.004813420387933088
P(hat | broad-brimmed) 0.042383550146873686
P(in | hat) 0.042383550146873686
P(hand, | his) 0.008499537153917361
P(while | hand,) 0.04067660088602497
P(he | while) 0.03276029841063899
P(wore | he) 0.009918491603653148
P(across | wore) 0.042383550146873686
P(upper | the) 0.0026521019877635693
P(of | part) 0.0673818303721086
P(face, | his) 0.008499537153917361
P(extending | face,) 0.042383550146873686
P(down | extending) 0.042383550146873686
P(past | down) 0.02473671320107764
P(the | past) 0.07781649245063878
P(cheekbones, | the) 0.0026521019877635693
P(a | cheekbones,) 0.042383550146873686
P(vizard | black) 0.03910181958962446
P(which | mask,) 0.042383550146873686
P(apparently | had) 0.014673834083975011
P(adjusted | apparently) 0.042383550146873686
P(that | adjusted) 0.04067660088602497
P(very | that) 0.010324031483185118
P(moment, | very) 0.026010816379088336
P(for | moment,) 0.04067660088602497
P(his | for) 0.018090632276553824
P(hand | his) 0.025330303795337877
P(still | was) 0.01677376283067679
P(raised | still) 0.033858531679517266
P(to | raised) 0.042383550146873686
P(it | to) 0.004790589574538728
P(as | it) 0.009113056031760354
P(entered. | he) 0.009918491603653148
P(from | entered.) 0.042383550146873686
P(lower | the) 0.0026521019877635693
P(part | lower) 0.042383550146873686
P(face | the) 0.005277945540004726
P(appeared | he) 0.01973878032014141
P(to | appeared) 0.1165311653116531
P(of | man) 0.08400781468043539
P(strong | of) 0.004375514447862063
P(character, | strong) 0.03910181958962446
P(with | character,) 0.042383550146873686
P(thick, | a) 0.004813420387933088
P(hanging | thick,) 0.04067660088602497
P(lip, | hanging) 0.042383550146873686
P(long, | a) 0.004813420387933088
P(straight | long,) 0.04067660088602497
P(chin | straight) 0.042383550146873686
P(suggestive | chin) 0.042383550146873686
P(of | suggestive) 0.042383550146873686
P(resolution | of) 0.004375514447862063
P(pushed | resolution) 0.042383550146873686
P(to | pushed) 0.04067660088602497
P(length | the) 0.0026521019877635693
P(obstinacy. | of) 0.004375514447862063
P(had | “you) 0.026010816379088336
P(my | had) 0.014673834083975011
P(note?” | my) 0.01265188525616936
P(he | note?”) 0.042383550146873686
P(asked | he) 0.009918491603653148
P(with | asked) 0.04067660088602497
P(deep | a) 0.004813420387933088
P(harsh | deep) 0.04067660088602497
P(voice | harsh) 0.042383550146873686
P(and | voice) 0.04067660088602497
P(strongly | a) 0.004813420387933088
P(german | marked) 0.042383550146873686
P(accent. | german) 0.037644427879239654
P(“i | accent.) 0.042383550146873686
P(told | “i) 0.018420572679190225
P(you | told) 0.07781649245063878
P(that | you) 0.021652483033502097
P(would | i) 0.010532935073101712
P(call.” | would) 0.028188668713368687
P(he | call.”) 0.042383550146873686
P(looked | he) 0.009918491603653148
P(from | looked) 0.03276029841063899
P(to | one) 0.043857735108007855
P(other | the) 0.005277945540004726
P(of | other) 0.0317310713163682
P(us, | of) 0.004375514447862063
P(as | us,) 0.042383550146873686
P(if | as) 0.02759851709460387
P(uncertain | if) 0.026010816379088336
P(which | uncertain) 0.042383550146873686
P(to | which) 0.01534254898982227
P(address. | to) 0.004790589574538728
P(take | “pray) 0.04067660088602497
P(a | take) 0.03629177146963708
P(seat,” | a) 0.004813420387933088
P(said | seat,”) 0.042383550146873686
P(“this | holmes.) 0.033858531679517266
P(my | is) 0.01163192445007486
P(friend | my) 0.025178504321683576
P(colleague, | and) 0.004636643253913602
P(dr. | colleague,) 0.042383550146873686
P(who | watson,) 0.03910181958962446
P(occasionally | is) 0.01163192445007486
P(good | occasionally) 0.042383550146873686
P(help | to) 0.009533747569131527
P(me | help) 0.03910181958962446
P(in | me) 0.04805163758068372
P(cases. | my) 0.01265188525616936
P(whom | cases.) 0.042383550146873686
P(i | have) 0.014890166592952971
P(the | i) 0.005292668867578473
P(honour | the) 0.0026521019877635693
P(to | honour) 0.04067660088602497
P(address?” | to) 0.004790589574538728
P(may | “you) 0.05176409992274015
P(address | may) 0.026698387523129793
P(me | address) 0.042383550146873686
P(as | me) 0.02414535022710973
P(the | as) 0.04132912261430729
P(count | the) 0.007903789092245884
P(von | count) 0.03910181958962446
P(kramm, | von) 0.037644427879239654
P(a | kramm,) 0.042383550146873686
P(bohemian | a) 0.004813420387933088
P(nobleman. | bohemian) 0.03910181958962446
P(i | nobleman.) 0.042383550146873686
P(that | understand) 0.07781649245063878
P(this | that) 0.010324031483185118
P(gentleman, | this) 0.02473671320107764
P(your | gentleman,) 0.042383550146873686
P(friend, | your) 0.02203796639755619
P(is | friend,) 0.04067660088602497
P(honour | of) 0.004375514447862063
P(and | honour) 0.04067660088602497
P(whom | discretion,) 0.042383550146873686
P(i | whom) 0.13909122441900795
P(trust | may) 0.026698387523129793
P(with | trust) 0.03910181958962446
P(extreme | most) 0.030764544623819678
P(if | importance.) 0.04067660088602497
P(not, | if) 0.026010816379088336
P(i | not,) 0.042383550146873686
P(much | should) 0.028997990238300318
P(prefer | much) 0.03629177146963708
P(to | prefer) 0.042383550146873686
P(communicate | to) 0.004790589574538728
P(with | communicate) 0.042383550146873686
P(you | with) 0.01265188525616936
P(rose | i) 0.005292668867578473
P(to | rose) 0.042383550146873686
P(go, | to) 0.004790589574538728
P(but | go,) 0.04067660088602497
P(holmes | but) 0.03600214938205266
P(caught | holmes) 0.02414535022710973
P(me | caught) 0.03910181958962446
P(by | me) 0.02414535022710973
P(wrist | the) 0.0026521019877635693
P(and | wrist) 0.042383550146873686
P(pushed | and) 0.004636643253913602
P(me | pushed) 0.04067660088602497
P(back | me) 0.02414535022710973
P(into | back) 0.07491613865076406
P(chair. | my) 0.01265188525616936
P(“it | chair.) 0.04067660088602497
P(both, | is) 0.01163192445007486
P(or | both,) 0.042383550146873686
P(none,” | or) 0.023581601681064674
P(said | none,”) 0.042383550146873686
P(“you | he.) 0.033858531679517266
P(say | may) 0.05313243457573354
P(before | say) 0.03629177146963708
P(this | before) 0.029855158143659476
P(anything | gentleman) 0.03503295178633368
P(which | anything) 0.04067660088602497
P(you | which) 0.01534254898982227
P(to | say) 0.03629177146963708
P(me.” | to) 0.004790589574538728
P(shrugged | count) 0.03910181958962446
P(his | shrugged) 0.042383550146873686
P(broad | his) 0.008499537153917361
P(shoulders. | broad) 0.04067660088602497
P(“then | shoulders.) 0.042383550146873686
P(i | “then) 0.13909122441900795
P(begin,” | must) 0.0274232962259028
P(said | begin,”) 0.042383550146873686
P(he, | said) 0.04292120435618193
P(binding | “by) 0.042383550146873686
P(you | binding) 0.042383550146873686
P(both | you) 0.01088010341484434
P(to | both) 0.03910181958962446
P(absolute | to) 0.004790589574538728
P(secrecy | absolute) 0.042383550146873686
P(for | secrecy) 0.042383550146873686
P(two | for) 0.018090632276553824
P(years; | two) 0.029855158143659476
P(at | years;) 0.042383550146873686
P(end | the) 0.005277945540004726
P(of | end) 0.07491613865076406
P(time | that) 0.010324031483185118
P(the | time) 0.037644427879239654
P(matter | the) 0.013155476196728199
P(will | matter) 0.0317310713163682
P(be | will) 0.10474597532929124
P(of | be) 0.014673834083975011
P(no | of) 0.004375514447862063
P(importance. | no) 0.0317310713163682
P(at | importance.) 0.04067660088602497
P(present | at) 0.013867911574900454
P(it | present) 0.04067660088602497
P(too | not) 0.015823280589064705
P(to | much) 0.03629177146963708
P(say | to) 0.009533747569131527
P(that | say) 0.03629177146963708
P(of | is) 0.01163192445007486
P(such | of) 0.004375514447862063
P(weight | such) 0.033858531679517266
P(it | weight) 0.042383550146873686
P(may | it) 0.009113056031760354
P(have | may) 0.026698387523129793
P(an | have) 0.014890166592952971
P(influence | an) 0.023581601681064674
P(upon | influence) 0.04067660088602497
P(history.” | european) 0.042383550146873686
P(promise,” | “i) 0.018420572679190225
P(said | promise,”) 0.042383550146873686
P(i.” | “and) 0.030764544623819678
P(will | “you) 0.026010816379088336
P(excuse | will) 0.02111645410830023
P(this | excuse) 0.042383550146873686
P(mask,” | this) 0.02473671320107764
P(continued | mask,”) 0.042383550146873686
P(our | continued) 0.042383550146873686
P(strange | our) 0.06314797360980207
P(visitor. | strange) 0.03910181958962446
P(“the | visitor.) 0.042383550146873686
P(august | “the) 0.03276029841063899
P(who | person) 0.03910181958962446
P(employs | who) 0.019870155420027544
P(me | employs) 0.042383550146873686
P(wishes | me) 0.02414535022710973
P(his | wishes) 0.042383550146873686
P(agent | his) 0.008499537153917361
P(to | agent) 0.03910181958962446
P(unknown | be) 0.014673834083975011
P(to | unknown) 0.042383550146873686
P(you, | to) 0.004790589574538728
P(and | you,) 0.07491613865076406
P(i | and) 0.0413625304136253
P(at | confess) 0.042383550146873686
P(once | at) 0.02759851709460387
P(that | once) 0.033858531679517266
P(the | that) 0.05121128488193805
P(title | the) 0.0026521019877635693
P(by | title) 0.042383550146873686
P(which | by) 0.043857735108007855
P(just | have) 0.014890166592952971
P(called | just) 0.029855158143659476
P(myself | called) 0.042383550146873686
P(is | myself) 0.03503295178633368
P(exactly | not) 0.015823280589064705
P(my | exactly) 0.042383550146873686
P(own.” | my) 0.01265188525616936
P(was | “i) 0.12784971730804304
P(aware | was) 0.01677376283067679
P(of | aware) 0.07781649245063878
P(it,” | of) 0.004375514447862063
P(said | it,”) 0.042383550146873686
P(holmes | said) 0.04292120435618193
P(dryly. | holmes) 0.02414535022710973
P(circumstances | “the) 0.03276029841063899
P(are | circumstances) 0.042383550146873686
P(great | of) 0.004375514447862063
P(delicacy, | great) 0.037644427879239654
P(and | delicacy,) 0.042383550146873686
P(every | and) 0.004636643253913602
P(precaution | every) 0.03503295178633368
P(has | precaution) 0.042383550146873686
P(to | has) 0.02473671320107764
P(taken | be) 0.02920238268197007
P(to | taken) 0.04067660088602497
P(quench | to) 0.004790589574538728
P(what | quench) 0.042383550146873686
P(might | what) 0.025357770524730105
P(grow | might) 0.033858531679517266
P(to | grow) 0.042383550146873686
P(immense | an) 0.023581601681064674
P(scandal | immense) 0.04067660088602497
P(and | scandal) 0.04067660088602497
P(compromise | seriously) 0.04067660088602497
P(one | compromise) 0.042383550146873686
P(families | reigning) 0.04067660088602497
P(of | families) 0.042383550146873686
P(europe. | of) 0.004375514447862063
P(to | europe.) 0.04067660088602497
P(speak | to) 0.004790589574538728
P(the | plainly,) 0.042383550146873686
P(implicates | matter) 0.0317310713163682
P(the | implicates) 0.042383550146873686
P(great | the) 0.0026521019877635693
P(house | great) 0.037644427879239654
P(of | house) 0.03629177146963708
P(ormstein, | of) 0.004375514447862063
P(hereditary | ormstein,) 0.04067660088602497
P(of | kings) 0.042383550146873686
P(bohemia.” | of) 0.004375514447862063
P(also | was) 0.00842860719352416
P(aware | also) 0.042383550146873686
P(that,” | of) 0.004375514447862063
P(murmured | that,”) 0.042383550146873686
P(holmes, | murmured) 0.03910181958962446
P(settling | holmes,) 0.037644427879239654
P(himself | settling) 0.042383550146873686
P(down | himself) 0.03629177146963708
P(armchair | his) 0.008499537153917361
P(and | armchair) 0.042383550146873686
P(closing | and) 0.004636643253913602
P(his | closing) 0.042383550146873686
P(eyes. | his) 0.01691492047462762
P(visitor | our) 0.0317310713163682
P(glanced | visitor) 0.04067660088602497
P(with | glanced) 0.042383550146873686
P(some | with) 0.01265188525616936
P(apparent | some) 0.028997990238300318
P(surprise | apparent) 0.042383550146873686
P(at | surprise) 0.042383550146873686
P(languid, | the) 0.0026521019877635693
P(figure | lounging) 0.04067660088602497
P(of | figure) 0.03910181958962446
P(had | who) 0.09856384025181979
P(no | been) 0.044836047289761316
P(doubt | no) 0.06314797360980207
P(depicted | doubt) 0.037644427879239654
P(to | depicted) 0.042383550146873686
P(him | to) 0.004790589574538728
P(as | him) 0.030764544623819678
P(incisive | most) 0.030764544623819678
P(reasoner | incisive) 0.04067660088602497
P(and | reasoner) 0.04067660088602497
P(most | and) 0.004636643253913602
P(energetic | most) 0.030764544623819678
P(agent | energetic) 0.04067660088602497
P(in | agent) 0.03910181958962446
P(europe. | in) 0.006786266209769535
P(holmes | europe.) 0.04067660088602497
P(reopened | slowly) 0.04067660088602497
P(his | reopened) 0.042383550146873686
P(and | eyes) 0.033858531679517266
P(impatiently | looked) 0.03276029841063899
P(at | impatiently) 0.042383550146873686
P(his | at) 0.02759851709460387
P(gigantic | his) 0.008499537153917361
P(client. | gigantic) 0.042383550146873686
P(your | “if) 0.04067660088602497
P(majesty | your) 0.06567750381845952
P(would | majesty) 0.03629177146963708
P(condescend | would) 0.028188668713368687
P(to | condescend) 0.042383550146873686
P(state | to) 0.004790589574538728
P(your | state) 0.042383550146873686
P(case,” | your) 0.02203796639755619
P(he | case,”) 0.042383550146873686
P(remarked, | he) 0.009918491603653148
P(“i | remarked,) 0.03910181958962446
P(be | should) 0.028997990238300318
P(better | be) 0.014673834083975011
P(able | better) 0.03910181958962446
P(to | able) 0.04067660088602497
P(advise | to) 0.004790589574538728
P(you.” | advise) 0.042383550146873686
P(sprang | man) 0.028188668713368687
P(from | sprang) 0.04067660088602497
P(chair | his) 0.008499537153917361
P(and | chair) 0.042383550146873686
P(paced | and) 0.004636643253913602
P(up | paced) 0.07781649245063878
P(and | up) 0.10054184226369657
P(down | and) 0.013818115043841527
P(the | down) 0.07372030369826107
P(in | room) 0.03629177146963708
P(agitation. | uncontrollable) 0.042383550146873686
P(then, | agitation.) 0.042383550146873686
P(with | then,) 0.04067660088602497
P(gesture | a) 0.004813420387933088
P(of | gesture) 0.042383550146873686
P(desperation, | of) 0.004375514447862063
P(he | desperation,) 0.042383550146873686
P(tore | he) 0.009918491603653148
P(mask | the) 0.0026521019877635693
P(from | mask) 0.04067660088602497
P(face | his) 0.008499537153917361
P(and | face) 0.07222421846927775
P(hurled | and) 0.004636643253913602
P(it | hurled) 0.042383550146873686
P(upon | it) 0.009113056031760354
P(ground. | the) 0.0026521019877635693
P(“you | ground.) 0.042383550146873686
P(are | “you) 0.07751738346639196
P(right,” | are) 0.023043577458361855
P(cried; | he) 0.009918491603653148
P(“i | cried;) 0.042383550146873686
P(am | “i) 0.12784971730804304
P(the | am) 0.026010816379088336
P(king. | the) 0.0026521019877635693
P(why | king.) 0.042383550146873686
P(should | why) 0.08095046314941601
P(i | should) 0.028997990238300318
P(attempt | i) 0.005292668867578473
P(to | attempt) 0.042383550146873686
P(conceal | to) 0.004790589574538728
P(it?” | conceal) 0.042383550146873686
P(indeed?” | “why,) 0.042383550146873686
P(murmured | indeed?”) 0.04067660088602497
P(holmes. | murmured) 0.03910181958962446
P(“your | holmes.) 0.033858531679517266
P(majesty | “your) 0.08095046314941601
P(had | majesty) 0.03629177146963708
P(not | had) 0.04373093127996513
P(spoken | not) 0.015823280589064705
P(before | spoken) 0.042383550146873686
P(i | before) 0.08897428318060893
P(that | aware) 0.03910181958962446
P(addressing | was) 0.00842860719352416
P(wilhelm | addressing) 0.042383550146873686
P(gottsreich | wilhelm) 0.042383550146873686
P(sigismond | gottsreich) 0.042383550146873686
P(von | sigismond) 0.042383550146873686
P(grand | ormstein,) 0.04067660088602497
P(duke | grand) 0.042383550146873686
P(of | duke) 0.042383550146873686
P(cassel-felstein, | of) 0.004375514447862063
P(and | cassel-felstein,) 0.042383550146873686
P(hereditary | and) 0.004636643253913602
