P(. | i) 0.008098223615464995
P(theories | suit) 0.006221719457013575
P(, | theories) 0.006221719457013575
P(instead | ,) 0.0016799022602321321
P(of | instead) 0.006257110352673493
P(to | theories) 0.006221719457013575
P(facts | suit) 0.006221719457013575
P(. | facts) 0.006186726659167604
P(the | but) 0.023415977961432504
P(itself | note) 0.006017505470459519
P(. | itself) 0.006221719457013575
P(from | deduce) 0.006186726659167604
P(? | it) 0.01386071670047329
P(carefully | i) 0.0028735632183908046
P(examined | carefully) 0.006257110352673493
P(the | examined) 0.006221719457013575
P(writing | the) 0.0038688282977155496
P(, | writing) 0.006221719457013575
P(paper | the) 0.0057111274871039066
P(upon | paper) 0.006017505470459519
P(which | upon) 0.005589430894308943
P(it | which) 0.005027422303473492
P(. | written) 0.006186726659167604
P(wrote | who) 0.010355029585798816
P(it | wrote) 0.006186726659167604
P(presumably | was) 0.003973988439306358
P(well | presumably) 0.006257110352673493
P(to | well) 0.005952380952380953
P(do | to) 0.01108707409410492
P(, | do) 0.0055055055055055055
P(to | endeavouring) 0.006257110352673493
P(imitate | to) 0.0029745808545159546
P(my | imitate) 0.006257110352673493
P(companion | my) 0.00462573591253154
P(s | companion) 0.006221719457013575
P(processes | s) 0.005735140771637122
P(. | processes) 0.006257110352673493
P(such | .) 0.001730103806228374
P(paper | such) 0.006017505470459519
P(could | paper) 0.006017505470459519
P(bought | be) 0.009467989179440937
P(under | bought) 0.006186726659167604
P(half | under) 0.00605060506050605
P(a | half) 0.027448869752421955
P(crown | a) 0.0030153508771929827
P(a | crown) 0.006221719457013575
P(packet | a) 0.0030153508771929827
P(. | packet) 0.006257110352673493
P(peculiarly | is) 0.004530477759472817
P(strong | peculiarly) 0.006257110352673493
P(and | strong) 0.006186726659167604
P(. | stiff) 0.006257110352673493
P(that | peculiar) 0.006221719457013575
P(the | is) 0.025123558484349256
P(word | very) 0.005735140771637122
P(, | word) 0.006186726659167604
P(holmes | said) 0.03994082840236686
P(. | holmes) 0.03897978825794032
P(not | is) 0.008649093904448105
P(an | not) 0.004981884057971015
P(english | an) 0.005646817248459959
P(at | paper) 0.006017505470459519
P(all | at) 0.009341637010676156
P(. | all) 0.010725229826353423
P(hold | .) 0.001730103806228374
P(it | hold) 0.006257110352673493
P(up | it) 0.0037187288708586883
P(light | the) 0.0020265291083271927
P(. | light) 0.006257110352673493
P(did | i) 0.0028735632183908046
P(so | did) 0.006117908787541713
P(saw | and) 0.00286607608129234
P(a | saw) 0.00605060506050605
P(large | a) 0.005756578947368421
P(e | large) 0.006152125279642058
P(with | e) 0.006257110352673493
P(small | a) 0.00849780701754386
P(g | small) 0.006117908787541713
P(, | g) 0.006186726659167604
P(p | a) 0.0030153508771929827
P(, | p) 0.011877828054298642
P(g | large) 0.006152125279642058
P(t | small) 0.01167964404894327
P(woven | t) 0.005920344456404736
P(into | woven) 0.006257110352673493
P(the | into) 0.05611729019211324
P(texture | the) 0.0020265291083271927
P(of | texture) 0.006257110352673493
P(. | paper) 0.011487964989059081
P(make | you) 0.007586705202312138
P(of | make) 0.01161504424778761
P(that | of) 0.0054858934169279
P(? | that) 0.008145849495733127
P(asked | ?) 0.004828797190517998
P(holmes | asked) 0.006084070796460177
P(name | the) 0.0057111274871039066
P(of | name) 0.01167964404894327
P(maker | the) 0.0020265291083271927
P(, | maker) 0.006257110352673493
P(no | ,) 0.003207086133170434
P(doubt | no) 0.01650692225772098
P(; | doubt) 0.006117908787541713
P(or | ;) 0.005984766050054407
P(his | or) 0.010780287474332649
P(monogram | his) 0.004047093451066961
P(, | monogram) 0.006257110352673493
P(rather | ,) 0.003207086133170434
P(. | rather) 0.006117908787541713
P(at | not) 0.009510869565217392
P(g | the) 0.0020265291083271927
P(with | g) 0.006186726659167604
P(small | the) 0.0020265291083271927
P(stands | t) 0.005920344456404736
P(for | stands) 0.011877828054298642
P(gesellschaft | for) 0.005218216318785579
P(, | gesellschaft) 0.006257110352673493
P(is | which) 0.005027422303473492
P(german | the) 0.0038688282977155496
P(for | german) 0.006084070796460177
P(company | for) 0.005218216318785579
P(. | company) 0.006257110352673493
P(customary | a) 0.0030153508771929827
P(contraction | customary) 0.006257110352673493
P(like | contraction) 0.006257110352673493
P(co | our) 0.005984766050054407
P(. | co) 0.006221719457013575
P(p | .) 0.001730103806228374
P(course | of) 0.010710553814002089
P(, | course) 0.01733780760626398
P(stands | ,) 0.0016799022602321321
P(papier | for) 0.005218216318785579
P(. | papier) 0.006257110352673493
P(for | now) 0.005857294994675187
P(eg | the) 0.0020265291083271927
P(. | eg) 0.006257110352673493
P(let | .) 0.001730103806228374
P(us | let) 0.006152125279642058
P(at | glance) 0.006257110352673493
P(our | at) 0.004893238434163701
P(continental | our) 0.005984766050054407
P(gazetteer | continental) 0.006257110352673493
P(. | gazetteer) 0.006257110352673493
P(took | he) 0.00407709414381023
P(down | took) 0.006084070796460177
P(a | down) 0.005675954592363261
P(heavy | a) 0.005756578947368421
P(brown | heavy) 0.006152125279642058
P(volume | brown) 0.006221719457013575
P(his | from) 0.02893738140417457
P(shelves | his) 0.004047093451066961
P(. | shelves) 0.006257110352673493
P(eglow | .) 0.001730103806228374
P(, | eglow) 0.006257110352673493
P(eglonitz | ,) 0.0016799022602321321
P(here | eglonitz) 0.006257110352673493
P(we | here) 0.006186726659167604
P(are | we) 0.015832482124616954
P(, | are) 0.005533199195171026
P(egria | ,) 0.0016799022602321321
P(. | egria) 0.006257110352673493
P(in | is) 0.008649093904448105
P(speaking | german) 0.006084070796460177
P(country | speaking) 0.006257110352673493
P(in | country) 0.006221719457013575
P(, | bohemia) 0.01167964404894327
P(not | ,) 0.0016799022602321321
P(far | not) 0.004981884057971015
P(from | far) 0.006257110352673493
P(carlsbad | from) 0.005218216318785579
P(. | carlsbad) 0.006257110352673493
P(remarkable | .) 0.001730103806228374
P(being | as) 0.004893238434163701
P(the | being) 0.006152125279642058
P(scene | the) 0.0057111274871039066
P(of | scene) 0.011811023622047244
P(death | the) 0.0020265291083271927
P(of | death) 0.006257110352673493
P(wallenstein | of) 0.0028735632183908046
P(, | wallenstein) 0.006257110352673493
P(for | and) 0.0054715997915581035
P(its | for) 0.005218216318785579
P(numerous | its) 0.006117908787541713
P(factories | glass) 0.006186726659167604
P(and | factories) 0.006257110352673493
P(paper | and) 0.00286607608129234
P(mills | paper) 0.006017505470459519
P(. | mills) 0.006257110352673493
P(ha | .) 0.001730103806228374
P(, | ha) 0.011811023622047244
P(ha | ,) 0.0016799022602321321
P(boy | my) 0.00462573591253154
P(, | boy) 0.006257110352673493
P(what | ,) 0.0016799022602321321
P(his | ?) 0.004828797190517998
P(sparkled | eyes) 0.005984766050054407
P(, | sparkled) 0.006257110352673493
P(he | and) 0.00286607608129234
P(sent | he) 0.00407709414381023
P(up | sent) 0.006221719457013575
P(a | up) 0.005397448478900883
P(great | a) 0.005756578947368421
P(blue | great) 0.006152125279642058
P(triumphant | blue) 0.006221719457013575
P(cloud | triumphant) 0.006257110352673493
P(cigarette | his) 0.004047093451066961
P(. | cigarette) 0.006221719457013575
P(was | paper) 0.006017505470459519
P(made | was) 0.003973988439306358
P(in | made) 0.00605060506050605
P(said | i) 0.0028735632183908046
P(. | said) 0.010355029585798816
P(. | precisely) 0.01174496644295302
P(the | wrote) 0.006186726659167604
P(is | note) 0.006017505470459519
P(german | a) 0.0030153508771929827
P(. | german) 0.006084070796460177
P(do | .) 0.0033029254482541686
P(note | you) 0.003973988439306358
P(the | note) 0.006017505470459519
P(construction | peculiar) 0.006221719457013575
P(of | construction) 0.006257110352673493
P(sentence | the) 0.0020265291083271927
P(this | sentence) 0.006257110352673493
P(frenchman | a) 0.0030153508771929827
P(or | frenchman) 0.006257110352673493
P(russian | or) 0.005646817248459959
P(could | russian) 0.006257110352673493
P(have | not) 0.004981884057971015
P(written | have) 0.005004549590536852
P(. | that) 0.008145849495733127
P(who | german) 0.01161504424778761
P(is | who) 0.010355029585798816
P(so | is) 0.004530477759472817
P(uncourteous | so) 0.005675954592363261
P(to | uncourteous) 0.006257110352673493
P(verbs | his) 0.004047093451066961
P(. | verbs) 0.006257110352673493
P(only | it) 0.0037187288708586883
P(, | remains) 0.006257110352673493
P(therefore | ,) 0.0016799022602321321
P(, | therefore) 0.006257110352673493
P(to | ,) 0.012370189370800245
P(discover | to) 0.0029745808545159546
P(what | discover) 0.006257110352673493
P(is | what) 0.02083333333333333
P(wanted | is) 0.004530477759472817
P(by | wanted) 0.006221719457013575
P(this | by) 0.005533199195171026
P(german | this) 0.005450941526263627
P(upon | writes) 0.006257110352673493
P(bohemian | upon) 0.005589430894308943
P(paper | bohemian) 0.006186726659167604
P(and | paper) 0.006017505470459519
P(prefers | and) 0.00286607608129234
P(wearing | prefers) 0.006257110352673493
P(a | wearing) 0.006257110352673493
P(to | mask) 0.006117908787541713
P(showing | to) 0.0029745808545159546
P(his | showing) 0.006257110352673493
P(. | face) 0.011487964989059081
P(here | and) 0.00286607608129234
P(he | here) 0.011811023622047244
P(comes | he) 0.007783543365455893
P(, | comes) 0.006221719457013575
P(not | am) 0.0110062893081761
P(mistaken | not) 0.004981884057971015
P(, | mistaken) 0.006257110352673493
P(resolve | to) 0.0029745808545159546
P(all | resolve) 0.006257110352673493
P(our | all) 0.0056179775280898875
P(. | doubts) 0.006257110352673493
P(he | as) 0.036032028469750885
P(spoke | he) 0.007783543365455893
P(there | spoke) 0.006186726659167604
P(sharp | the) 0.0020265291083271927
P(sound | sharp) 0.006186726659167604
P(of | sound) 0.006221719457013575
P(horses | of) 0.0028735632183908046
P(hoofs | horses) 0.006186726659167604
P(and | hoofs) 0.006257110352673493
P(grating | and) 0.00286607608129234
P(against | wheels) 0.006186726659167604
P(curb | the) 0.0020265291083271927
P(, | curb) 0.006257110352673493
P(followed | ,) 0.0016799022602321321
P(by | followed) 0.006221719457013575
P(a | by) 0.005533199195171026
P(sharp | a) 0.0030153508771929827
P(pull | sharp) 0.006186726659167604
P(at | pull) 0.006257110352673493
P(. | bell) 0.011811023622047244
P(holmes | .) 0.004875747090279963
P(. | whistled) 0.006257110352673493
P(pair | a) 0.005756578947368421
P(, | pair) 0.006186726659167604
P(by | ,) 0.0016799022602321321
P(sound | the) 0.0020265291083271927
P(, | sound) 0.006221719457013575
P(yes | .) 0.001730103806228374
P(, | yes) 0.006152125279642058
P(continued | he) 0.00407709414381023
P(, | continued) 0.006221719457013575
P(glancing | ,) 0.0016799022602321321
P(out | glancing) 0.006257110352673493
P(window | the) 0.007553426676492263
P(. | window) 0.027747551686615884
P(nice | a) 0.0030153508771929827
P(little | nice) 0.006257110352673493
P(brougham | little) 0.005857294994675187
P(and | brougham) 0.006221719457013575
P(of | pair) 0.006186726659167604
P(beauties | of) 0.0028735632183908046
P(. | beauties) 0.006257110352673493
P(hundred | a) 0.0030153508771929827
P(fifty | and) 0.00286607608129234
P(guineas | fifty) 0.006257110352673493
P(apiece | guineas) 0.006257110352673493
P(. | apiece) 0.006257110352673493
P(there | .) 0.012739855300408933
P(s | there) 0.01025390625
P(money | s) 0.005735140771637122
P(in | money) 0.006221719457013575
P(case | this) 0.010406342913776016
P(, | case) 0.01155115511551155
P(there | if) 0.00570539419087137
P(nothing | is) 0.008649093904448105
P(else | nothing) 0.006017505470459519
P(. | else) 0.006186726659167604
P(that | think) 0.006017505470459519
P(better | had) 0.004981884057971015
P(go | better) 0.006152125279642058
P(, | go) 0.01174496644295302
P(holmes | ,) 0.0016799022602321321
P(a | not) 0.009510869565217392
P(bit | a) 0.0030153508771929827
P(, | bit) 0.006257110352673493
P(doctor | ,) 0.007788637751985339
P(. | doctor) 0.006117908787541713
P(stay | .) 0.001730103806228374
P(where | stay) 0.006221719457013575
P(you | where) 0.005984766050054407
P(. | are) 0.005533199195171026
P(lost | am) 0.005765199161425576
P(without | lost) 0.006186726659167604
P(my | without) 0.00605060506050605
P(boswell | my) 0.00462573591253154
P(. | boswell) 0.006257110352673493
P(this | and) 0.00286607608129234
P(promises | this) 0.005450941526263627
P(to | promises) 0.006257110352673493
P(interesting | be) 0.004959422903516682
P(. | interesting) 0.006257110352673493
P(would | it) 0.007099391480730223
P(be | would) 0.016332982086406742
P(a | be) 0.009467989179440937
P(pity | a) 0.0030153508771929827
P(to | pity) 0.006257110352673493
P(miss | to) 0.0029745808545159546
P(it | miss) 0.006152125279642058
P(your | but) 0.005050505050505051
P(client | your) 0.0055055055055055055
P(mind | never) 0.006117908787541713
P(him | mind) 0.006084070796460177
P(may | i) 0.008098223615464995
P(want | may) 0.005765199161425576
P(your | want) 0.011877828054298642
P(help | your) 0.0055055055055055055
P(, | help) 0.006152125279642058
P(so | and) 0.0054715997915581035
P(may | so) 0.005675954592363261
P(he | may) 0.005765199161425576
P(here | .) 0.001730103806228374
P(. | comes) 0.006221719457013575
P(down | sit) 0.006257110352673493
P(in | down) 0.02115583075335397
P(that | in) 0.0069124423963133645
P(armchair | that) 0.004266873545384018
P(, | doctor) 0.022803114571746382
P(give | and) 0.00286607608129234
P(us | give) 0.006152125279642058
P(your | us) 0.006117908787541713
P(best | your) 0.0055055055055055055
P(attention | best) 0.006221719457013575
P(. | attention) 0.006186726659167604
P(slow | a) 0.0030153508771929827
P(and | slow) 0.006257110352673493
P(heavy | and) 0.00286607608129234
P(step | heavy) 0.006152125279642058
P(, | step) 0.006257110352673493
P(heard | been) 0.005589430894308943
P(upon | heard) 0.006084070796460177
P(stairs | the) 0.0020265291083271927
P(and | stairs) 0.006257110352673493
P(, | passage) 0.006221719457013575
P(paused | ,) 0.0016799022602321321
P(immediately | paused) 0.006257110352673493
P(outside | immediately) 0.006257110352673493
P(the | outside) 0.006257110352673493
P(door | the) 0.013080324244657333
P(. | door) 0.011363636363636364
P(there | then) 0.005397448478900883
P(a | was) 0.03648843930635838
P(loud | a) 0.0030153508771929827
P(and | loud) 0.006257110352673493
P(tap | authoritative) 0.006257110352673493
P(. | tap) 0.006257110352673493
P(in | come) 0.00605060506050605
P(! | in) 0.0036208031599736673
P(said | !) 0.010616784630940344
P(man | a) 0.019462719298245612
P(entered | man) 0.0056179775280898875
P(who | entered) 0.006221719457013575
P(could | who) 0.005424063116370809
P(hardly | could) 0.005646817248459959
P(have | hardly) 0.006186726659167604
P(less | been) 0.005589430894308943
P(than | less) 0.01174496644295302
P(six | than) 0.006017505470459519
P(feet | six) 0.006152125279642058
P(six | feet) 0.006257110352673493
P(inches | six) 0.006152125279642058
P(height | in) 0.0036208031599736673
P(, | height) 0.006257110352673493
P(chest | the) 0.0020265291083271927
P(limbs | and) 0.00286607608129234
P(of | limbs) 0.006257110352673493
P(a | of) 0.028996865203761754
P(hercules | a) 0.0030153508771929827
P(. | hercules) 0.006257110352673493
P(dress | his) 0.004047093451066961
P(was | dress) 0.006221719457013575
P(rich | was) 0.003973988439306358
P(richness | a) 0.0030153508771929827
P(which | richness) 0.006257110352673493
P(would | which) 0.005027422303473492
P(, | would) 0.005795574288724974
P(in | ,) 0.003207086133170434
P(england | in) 0.0036208031599736673
P(, | england) 0.006257110352673493
P(be | ,) 0.0016799022602321321
P(looked | be) 0.004959422903516682
P(upon | looked) 0.006017505470459519
P(as | upon) 0.005589430894308943
P(akin | as) 0.004893238434163701
P(bad | to) 0.0029745808545159546
P(. | taste) 0.006257110352673493
P(heavy | .) 0.001730103806228374
P(bands | heavy) 0.006152125279642058
P(of | bands) 0.006257110352673493
P(astrakhan | of) 0.0028735632183908046
P(were | astrakhan) 0.006257110352673493
P(slashed | were) 0.005675954592363261
P(across | slashed) 0.006257110352673493
P(the | across) 0.01174496644295302
P(sleeves | the) 0.0020265291083271927
P(and | sleeves) 0.006257110352673493
P(of | fronts) 0.006257110352673493
P(double | his) 0.004047093451066961
P(breasted | double) 0.006152125279642058
P(coat | breasted) 0.006257110352673493
P(, | coat) 0.006221719457013575
P(while | ,) 0.00931582162492364
P(the | while) 0.011487964989059081
P(deep | the) 0.0038688282977155496
P(blue | deep) 0.006186726659167604
P(cloak | blue) 0.006221719457013575
P(which | cloak) 0.006221719457013575
P(was | which) 0.01416819012797075
P(over | thrown) 0.006257110352673493
P(his | over) 0.01155115511551155
P(shoulders | his) 0.004047093451066961
P(was | shoulders) 0.006221719457013575
P(lined | was) 0.003973988439306358
P(with | lined) 0.006257110352673493
P(flame | with) 0.004745470232959448
P(coloured | flame) 0.006257110352673493
P(silk | coloured) 0.006257110352673493
P(and | silk) 0.006257110352673493
P(at | secured) 0.006257110352673493
P(neck | the) 0.0020265291083271927
P(with | neck) 0.006257110352673493
P(brooch | a) 0.0030153508771929827
P(which | brooch) 0.006257110352673493
P(consisted | which) 0.005027422303473492
P(of | consisted) 0.006257110352673493
P(single | a) 0.0030153508771929827
P(flaming | single) 0.006257110352673493
P(. | beryl) 0.006257110352673493
P(boots | .) 0.001730103806228374
P(which | boots) 0.006257110352673493
P(extended | which) 0.005027422303473492
P(halfway | extended) 0.006257110352673493
P(up | halfway) 0.006257110352673493
P(his | up) 0.005397448478900883
P(calves | his) 0.004047093451066961
P(, | calves) 0.006257110352673493
P(which | and) 0.00286607608129234
P(were | which) 0.01416819012797075
P(at | trimmed) 0.006257110352673493
P(tops | the) 0.0020265291083271927
P(with | tops) 0.006257110352673493
P(rich | with) 0.004745470232959448
P(brown | rich) 0.006221719457013575
P(fur | brown) 0.006221719457013575
P(, | fur) 0.006257110352673493
P(completed | ,) 0.0016799022602321321
P(the | completed) 0.006257110352673493
P(impression | the) 0.0020265291083271927
P(of | impression) 0.006257110352673493
P(opulence | barbaric) 0.006257110352673493
P(which | opulence) 0.006257110352673493
P(suggested | was) 0.003973988439306358
P(by | suggested) 0.006257110352673493
P(his | by) 0.005533199195171026
P(appearance | whole) 0.006152125279642058
P(. | appearance) 0.006221719457013575
P(a | carried) 0.006257110352673493
P(broad | a) 0.0030153508771929827
P(brimmed | broad) 0.006186726659167604
P(hat | brimmed) 0.006257110352673493
P(in | hat) 0.006186726659167604
P(hand | his) 0.015084621044885943
P(, | hand) 0.011487964989059081
P(he | while) 0.006017505470459519
P(wore | he) 0.00407709414381023
P(across | wore) 0.006257110352673493
P(upper | the) 0.0020265291083271927
P(of | part) 0.011425462459194777
P(face | his) 0.011405445180279618
P(, | face) 0.006017505470459519
P(extending | ,) 0.0016799022602321321
P(down | extending) 0.006257110352673493
P(past | down) 0.005675954592363261
P(the | past) 0.011811023622047244
P(cheekbones | the) 0.0020265291083271927
P(, | cheekbones) 0.006257110352673493
P(vizard | black) 0.006186726659167604
P(, | mask) 0.01167964404894327
P(apparently | had) 0.004981884057971015
P(adjusted | apparently) 0.006257110352673493
P(that | adjusted) 0.006221719457013575
P(very | that) 0.004266873545384018
P(moment | very) 0.005735140771637122
P(, | moment) 0.01167964404894327
P(for | ,) 0.007788637751985339
P(his | for) 0.005218216318785579
P(raised | still) 0.005984766050054407
P(to | raised) 0.006257110352673493
P(it | to) 0.0029745808545159546
P(as | it) 0.0037187288708586883
P(entered | he) 0.00407709414381023
P(. | entered) 0.006221719457013575
P(from | .) 0.001730103806228374
P(lower | the) 0.0020265291083271927
P(part | lower) 0.006257110352673493
P(face | the) 0.0038688282977155496
P(appeared | he) 0.007783543365455893
P(to | appeared) 0.017435320584926882
P(of | man) 0.015832482124616954
P(strong | of) 0.0028735632183908046
P(character | strong) 0.006186726659167604
P(, | character) 0.006152125279642058
P(thick | a) 0.0030153508771929827
P(hanging | ,) 0.0016799022602321321
P(lip | hanging) 0.006257110352673493
P(, | lip) 0.006257110352673493
P(long | a) 0.005756578947368421
P(straight | ,) 0.0016799022602321321
P(chin | straight) 0.006257110352673493
P(suggestive | chin) 0.006257110352673493
P(of | suggestive) 0.006257110352673493
P(resolution | of) 0.0028735632183908046
P(pushed | resolution) 0.006257110352673493
P(to | pushed) 0.006221719457013575
P(length | the) 0.0020265291083271927
P(obstinacy | of) 0.0028735632183908046
P(. | obstinacy) 0.006257110352673493
P(my | had) 0.004981884057971015
P(note | my) 0.00462573591253154
P(? | note) 0.006017505470459519
P(he | ?) 0.009218612818261633
P(asked | he) 0.007783543365455893
P(with | asked) 0.006084070796460177
P(deep | a) 0.0030153508771929827
P(harsh | deep) 0.006186726659167604
P(voice | harsh) 0.006257110352673493
P(and | voice) 0.006221719457013575
P(strongly | a) 0.0030153508771929827
P(german | marked) 0.006257110352673493
P(accent | german) 0.006084070796460177
P(. | accent) 0.006257110352673493
P(told | i) 0.0054858934169279
P(you | told) 0.011811023622047244
P(that | you) 0.007586705202312138
P(would | i) 0.0054858934169279
P(call | would) 0.005795574288724974
P(. | call) 0.006152125279642058
P(looked | he) 0.00407709414381023
P(from | looked) 0.006017505470459519
P(to | one) 0.01051051051051051
P(other | the) 0.007553426676492263
P(of | other) 0.005888650963597431
P(us | of) 0.0028735632183908046
P(, | us) 0.006117908787541713
P(if | as) 0.009341637010676156
P(uncertain | if) 0.00570539419087137
P(which | uncertain) 0.006257110352673493
P(to | which) 0.005027422303473492
P(address | to) 0.005678745267712277
P(take | pray) 0.006186726659167604
P(a | take) 0.006117908787541713
P(seat | a) 0.0030153508771929827
P(, | seat) 0.006257110352673493
P(this | .) 0.001730103806228374
P(my | is) 0.004530477759472817
P(friend | my) 0.013036164844407064
P(colleague | and) 0.00286607608129234
P(, | colleague) 0.006257110352673493
P(dr | ,) 0.0016799022602321321
P(. | dr) 0.006257110352673493
P(occasionally | is) 0.004530477759472817
P(good | occasionally) 0.006257110352673493
P(help | to) 0.005678745267712277
P(me | help) 0.006152125279642058
P(in | me) 0.01010587102983638
P(cases | my) 0.00462573591253154
P(. | cases) 0.006257110352673493
P(whom | .) 0.001730103806228374
P(i | have) 0.005004549590536852
P(the | i) 0.0028735632183908046
P(honour | the) 0.0020265291083271927
P(to | honour) 0.006221719457013575
P(? | address) 0.01167964404894327
P(address | may) 0.005765199161425576
P(me | address) 0.006117908787541713
P(as | me) 0.005293551491819057
P(the | as) 0.013790035587188611
P(count | the) 0.0057111274871039066
P(von | count) 0.006186726659167604
P(kramm | von) 0.01174496644295302
P(, | kramm) 0.006221719457013575
P(bohemian | a) 0.0030153508771929827
P(nobleman | bohemian) 0.006186726659167604
P(. | nobleman) 0.006257110352673493
P(that | understand) 0.01161504424778761
P(this | that) 0.004266873545384018
P(gentleman | this) 0.005450941526263627
P(, | gentleman) 0.006017505470459519
P(your | ,) 0.003207086133170434
P(friend | your) 0.0055055055055055055
P(, | friend) 0.01155115511551155
P(is | ,) 0.0016799022602321321
P(honour | of) 0.0028735632183908046
P(and | honour) 0.006221719457013575
P(, | discretion) 0.006257110352673493
P(whom | ,) 0.0016799022602321321
P(i | whom) 0.022676991150442475
P(trust | may) 0.005765199161425576
P(with | trust) 0.006186726659167604
P(extreme | most) 0.005952380952380953
P(. | importance) 0.01174496644295302
P(if | .) 0.006448568732305757
P(not | if) 0.00570539419087137
P(, | not) 0.004981884057971015
P(much | should) 0.005888650963597431
P(prefer | much) 0.00605060506050605
P(to | prefer) 0.006257110352673493
P(communicate | to) 0.0029745808545159546
P(with | communicate) 0.006257110352673493
P(you | with) 0.0090595340811044
P(. | alone) 0.006221719457013575
P(rose | i) 0.0028735632183908046
P(to | rose) 0.006257110352673493
P(holmes | but) 0.009641873278236915
P(caught | holmes) 0.005293551491819057
P(me | caught) 0.006186726659167604
P(by | me) 0.005293551491819057
P(wrist | the) 0.0020265291083271927
P(and | wrist) 0.006257110352673493
P(pushed | and) 0.00286607608129234
P(me | pushed) 0.006221719457013575
P(back | me) 0.005293551491819057
P(into | back) 0.01155115511551155
P(chair | my) 0.00462573591253154
P(. | chair) 0.011811023622047244
P(both | is) 0.004530477759472817
P(, | both) 0.006152125279642058
P(none | or) 0.005646817248459959
P(, | none) 0.006084070796460177
P(say | may) 0.0110062893081761
P(before | say) 0.006117908787541713
P(this | before) 0.005888650963597431
P(anything | gentleman) 0.006017505470459519
P(which | anything) 0.006221719457013575
P(you | which) 0.005027422303473492
P(to | say) 0.006117908787541713
P(shrugged | count) 0.006186726659167604
P(his | shrugged) 0.006257110352673493
P(broad | his) 0.004047093451066961
P(shoulders | broad) 0.006186726659167604
P(. | shoulders) 0.006221719457013575
P(i | then) 0.020117762512266924
P(begin | must) 0.005826271186440678
P(, | begin) 0.006257110352673493
P(, | he) 0.007783543365455893
P(binding | by) 0.005533199195171026
P(you | binding) 0.006257110352673493
P(both | you) 0.003973988439306358
P(to | both) 0.006152125279642058
P(absolute | to) 0.0029745808545159546
P(secrecy | absolute) 0.006257110352673493
P(for | secrecy) 0.006257110352673493
P(two | for) 0.005218216318785579
P(years | two) 0.005920344456404736
P(; | years) 0.006186726659167604
P(at | ;) 0.005984766050054407
P(end | the) 0.0038688282977155496
P(of | end) 0.01167964404894327
P(time | that) 0.004266873545384018
P(the | time) 0.006084070796460177
P(matter | the) 0.013080324244657333
P(will | matter) 0.005952380952380953
P(be | will) 0.025272547076313177
P(of | be) 0.004959422903516682
P(no | of) 0.0028735632183908046
P(importance | no) 0.005857294994675187
P(at | .) 0.006448568732305757
P(present | at) 0.009341637010676156
P(it | present) 0.006152125279642058
P(too | not) 0.004981884057971015
P(to | much) 0.00605060506050605
P(say | to) 0.005678745267712277
P(that | say) 0.006117908787541713
P(of | is) 0.004530477759472817
P(such | of) 0.0028735632183908046
P(weight | such) 0.006017505470459519
P(it | weight) 0.006257110352673493
P(may | it) 0.0037187288708586883
P(have | may) 0.005765199161425576
P(an | have) 0.005004549590536852
P(influence | an) 0.005646817248459959
P(upon | influence) 0.006221719457013575
P(history | european) 0.006257110352673493
P(. | history) 0.006257110352673493
P(promise | i) 0.0028735632183908046
P(, | promise) 0.006257110352673493
P(i | and) 0.02631578947368421
P(will | you) 0.018424855491329478
P(excuse | will) 0.005450941526263627
P(this | excuse) 0.006257110352673493
P(mask | this) 0.005450941526263627
P(continued | ,) 0.0016799022602321321
P(our | continued) 0.006221719457013575
P(strange | our) 0.011425462459194777
P(visitor | strange) 0.011811023622047244
P(. | visitor) 0.006117908787541713
P(august | the) 0.0020265291083271927
P(who | person) 0.006117908787541713
P(employs | who) 0.005424063116370809
P(me | employs) 0.006257110352673493
P(wishes | me) 0.005293551491819057
P(his | wishes) 0.006257110352673493
P(agent | his) 0.004047093451066961
P(to | agent) 0.006186726659167604
P(unknown | be) 0.004959422903516682
P(to | unknown) 0.006257110352673493
P(you | to) 0.01108707409410492
P(at | confess) 0.006257110352673493
P(once | at) 0.009341637010676156
P(that | once) 0.00605060506050605
P(the | that) 0.019782777346780446
P(title | the) 0.0020265291083271927
P(by | title) 0.006257110352673493
P(which | by) 0.01056338028169014
P(just | have) 0.005004549590536852
P(called | just) 0.005920344456404736
P(myself | called) 0.006257110352673493
P(is | myself) 0.00605060506050605
P(exactly | not) 0.004981884057971015
P(my | exactly) 0.006257110352673493
P(aware | was) 0.007586705202312138
P(of | aware) 0.011811023622047244
P(it | of) 0.010710553814002089
P(dryly | holmes) 0.005293551491819057
P(. | dryly) 0.006257110352673493
P(circumstances | the) 0.0020265291083271927
P(are | circumstances) 0.006257110352673493
P(great | of) 0.0028735632183908046
P(delicacy | great) 0.006152125279642058
P(, | delicacy) 0.006221719457013575
P(every | and) 0.00286607608129234
P(precaution | every) 0.006084070796460177
P(has | precaution) 0.006257110352673493
P(to | has) 0.00570539419087137
P(taken | be) 0.009467989179440937
P(to | taken) 0.006221719457013575
P(quench | to) 0.0029745808545159546
P(what | quench) 0.006257110352673493
P(might | what) 0.005589430894308943
P(grow | might) 0.00605060506050605
P(to | grow) 0.006257110352673493
P(immense | an) 0.005646817248459959
P(scandal | immense) 0.006221719457013575
P(and | scandal) 0.006221719457013575
P(compromise | seriously) 0.006186726659167604
P(one | compromise) 0.006257110352673493
P(families | reigning) 0.006221719457013575
P(of | families) 0.006257110352673493
